NODES,,,,,,,,,,,,,,,,,,,,,
ID,X,Y,Z,,,,,,,,,,,,,,,,,,
129,78,79,5,1,,,,,,,,,,,,,,,,,
130,78,77,5,1,,,,,,,,,,,,,,,,,
131,78,64,5,1,,,,,,,,,,,,,,,,,
132,78,66,5,1,,,,,,,,,,,,,,,,,
133,80,81,5,1,,,,,,,,,,,,,,,,,
134,80,79,5,1,,,,,,,,,,,,,,,,,
135,80,66,5,1,,,,,,,,,,,,,,,,,
136,80,68,5,1,,,,,,,,,,,,,,,,,
137,82,83,5,1,,,,,,,,,,,,,,,,,
138,82,81,5,1,,,,,,,,,,,,,,,,,
139,82,68,5,1,,,,,,,,,,,,,,,,,
140,82,70,5,1,,,,,,,,,,,,,,,,,
141,84,85,5,1,,,,,,,,,,,,,,,,,
142,84,83,5,1,,,,,,,,,,,,,,,,,
143,84,70,5,1,,,,,,,,,,,,,,,,,
144,84,72,5,1,,,,,,,,,,,,,,,,,
145,4,5,5,1,,,,,,,,,,,,,,,,,
146,5,8,5,1,,,,,,,,,,,,,,,,,
147,8,11,5,1,,,,,,,,,,,,,,,,,
148,11,14,5,1,,,,,,,,,,,,,,,,,
149,14,17,5,1,,,,,,,,,,,,,,,,,
150,17,20,5,1,,,,,,,,,,,,,,,,,
151,3,2,5,1,,,,,,,,,,,,,,,,,
152,2,7,5,1,,,,,,,,,,,,,,,,,
153,7,10,5,1,,,,,,,,,,,,,,,,,
154,10,13,5,1,,,,,,,,,,,,,,,,,
155,13,16,5,1,,,,,,,,,,,,,,,,,
156,16,19,5,1,,,,,,,,,,,,,,,,,
157,23,22,5,1,,,,,,,,,,,,,,,,,
158,22,25,5,1,,,,,,,,,,,,,,,,,
159,25,27,5,1,,,,,,,,,,,,,,,,,
160,27,29,5,1,,,,,,,,,,,,,,,,,
161,29,31,5,1,,,,,,,,,,,,,,,,,
162,31,33,5,1,,,,,,,,,,,,,,,,,
163,36,35,5,1,,,,,,,,,,,,,,,,,
164,35,38,5,1,,,,,,,,,,,,,,,,,
165,38,40,5,1,,,,,,,,,,,,,,,,,
166,40,42,5,1,,,,,,,,,,,,,,,,,
167,42,44,5,1,,,,,,,,,,,,,,,,,
168,44,46,5,1,,,,,,,,,,,,,,,,,
169,49,48,5,1,,,,,,,,,,,,,,,,,
170,48,51,5,1,,,,,,,,,,,,,,,,,
171,51,53,5,1,,,,,,,,,,,,,,,,,
172,53,55,5,1,,,,,,,,,,,,,,,,,
173,55,57,5,1,,,,,,,,,,,,,,,,,
174,57,59,5,1,,,,,,,,,,,,,,,,,
175,62,61,5,1,,,,,,,,,,,,,,,,,
176,61,64,5,1,,,,,,,,,,,,,,,,,
177,64,66,5,1,,,,,,,,,,,,,,,,,
178,66,68,5,1,,,,,,,,,,,,,,,,,
179,68,70,5,1,,,,,,,,,,,,,,,,,
180,70,72,5,1,,,,,,,,,,,,,,,,,
181,75,74,5,1,,,,,,,,,,,,,,,,,
182,74,77,5,1,,,,,,,,,,,,,,,,,
183,77,79,5,1,,,,,,,,,,,,,,,,,
184,79,81,5,1,,,,,,,,,,,,,,,,,
185,81,83,5,1,,,,,,,,,,,,,,,,,
186,83,85,5,1,,,,,,,,,,,,,,,,,
187,4,3,5,1,,,,,,,,,,,,,,,,,
188,5,2,5,1,,,,,,,,,,,,,,,,,
189,8,7,5,1,,,,,,,,,,,,,,,,,
190,11,10,5,1,,,,,,,,,,,,,,,,,
191,14,13,5,1,,,,,,,,,,,,,,,,,
192,17,16,5,1,,,,,,,,,,,,,,,,,
193,20,19,5,1,,,,,,,,,,,,,,,,,
194,3,23,5,1,,,,,,,,,,,,,,,,,
195,2,22,5,1,,,,,,,,,,,,,,,,,
196,7,25,5,1,,,,,,,,,,,,,,,,,
197,10,27,5,1,,,,,,,,,,,,,,,,,
198,13,29,5,1,,,,,,,,,,,,,,,,,
199,16,31,5,1,,,,,,,,,,,,,,,,,
200,19,33,5,1,,,,,,,,,,,,,,,,,
201,23,36,5,1,,,,,,,,,,,,,,,,,
202,22,35,5,1,,,,,,,,,,,,,,,,,
203,25,38,5,1,,,,,,,,,,,,,,,,,
204,27,40,5,1,,,,,,,,,,,,,,,,,
205,29,42,5,1,,,,,,,,,,,,,,,,,
206,31,44,5,1,,,,,,,,,,,,,,,,,
207,33,46,5,1,,,,,,,,,,,,,,,,,
208,36,49,5,1,,,,,,,,,,,,,,,,,
209,35,48,5,1,,,,,,,,,,,,,,,,,
210,38,51,5,1,,,,,,,,,,,,,,,,,
211,40,53,5,1,,,,,,,,,,,,,,,,,
212,42,55,5,1,,,,,,,,,,,,,,,,,
213,44,57,5,1,,,,,,,,,,,,,,,,,
214,46,59,5,1,,,,,,,,,,,,,,,,,
215,49,62,5,1,,,,,,,,,,,,,,,,,
216,48,61,5,1,,,,,,,,,,,,,,,,,
217,51,64,5,1,,,,,,,,,,,,,,,,,
218,53,66,5,1,,,,,,,,,,,,,,,,,
219,55,68,5,1,,,,,,,,,,,,,,,,,
220,57,70,5,1,,,,,,,,,,,,,,,,,
221,59,72,5,1,,,,,,,,,,,,,,,,,
222,62,75,5,1,,,,,,,,,,,,,,,,,
223,61,74,5,1,,,,,,,,,,,,,,,,,
224,64,77,5,1,,,,,,,,,,,,,,,,,
225,66,79,5,1,,,,,,,,,,,,,,,,,
226,68,81,5,1,,,,,,,,,,,,,,,,,
227,70,83,5,1,,,,,,,,,,,,,,,,,
228,72,85,5,1,,,,,,,,,,,,,,,,,
229,1,6,5,1,,,,,,,,,,,,,,,,,
230,6,9,5,1,,,,,,,,,,,,,,,,,
231,9,12,5,1,,,,,,,,,,,,,,,,,
232,12,15,5,1,,,,,,,,,,,,,,,,,
233,15,18,5,1,,,,,,,,,,,,,,,,,
234,21,24,5,1,,,,,,,,,,,,,,,,,
235,24,26,5,1,,,,,,,,,,,,,,,,,
236,26,28,5,1,,,,,,,,,,,,,,,,,
237,28,30,5,1,,,,,,,,,,,,,,,,,
238,30,32,5,1,,,,,,,,,,,,,,,,,
239,34,37,5,1,,,,,,,,,,,,,,,,,
240,37,39,5,1,,,,,,,,,,,,,,,,,
241,39,41,5,1,,,,,,,,,,,,,,,,,
242,41,43,5,1,,,,,,,,,,,,,,,,,
243,43,45,5,1,,,,,,,,,,,,,,,,,
244,47,50,5,1,,,,,,,,,,,,,,,,,
245,50,52,5,1,,,,,,,,,,,,,,,,,
246,52,54,5,1,,,,,,,,,,,,,,,,,
247,54,56,5,1,,,,,,,,,,,,,,,,,
248,56,58,5,1,,,,,,,,,,,,,,,,,
249,60,63,5,1,,,,,,,,,,,,,,,,,
250,63,65,5,1,,,,,,,,,,,,,,,,,
251,65,67,5,1,,,,,,,,,,,,,,,,,
252,67,69,5,1,,,,,,,,,,,,,,,,,
253,69,71,5,1,,,,,,,,,,,,,,,,,
254,73,76,5,1,,,,,,,,,,,,,,,,,
255,76,78,5,1,,,,,,,,,,,,,,,,,
256,78,80,5,1,,,,,,,,,,,,,,,,,
257,80,82,5,1,,,,,,,,,,,,,,,,,
258,82,84,5,1,,,,,,,,,,,,,,,,,
259,1,21,5,1,,,,,,,,,,,,,,,,,
260,6,24,5,1,,,,,,,,,,,,,,,,,
261,9,26,5,1,,,,,,,,,,,,,,,,,
262,12,28,5,1,,,,,,,,,,,,,,,,,
263,15,30,5,1,,,,,,,,,,,,,,,,,
264,18,32,5,1,,,,,,,,,,,,,,,,,
265,21,34,5,1,,,,,,,,,,,,,,,,,
266,24,37,5,1,,,,,,,,,,,,,,,,,
267,26,39,5,1,,,,,,,,,,,,,,,,,
268,28,41,5,1,,,,,,,,,,,,,,,,,
269,30,43,5,1,,,,,,,,,,,,,,,,,
270,32,45,5,1,,,,,,,,,,,,,,,,,
271,34,47,5,1,,,,,,,,,,,,,,,,,
272,37,50,5,1,,,,,,,,,,,,,,,,,
273,39,52,5,1,,,,,,,,,,,,,,,,,
274,41,54,5,1,,,,,,,,,,,,,,,,,
275,43,56,5,1,,,,,,,,,,,,,,,,,
276,45,58,5,1,,,,,,,,,,,,,,,,,
277,47,60,5,1,,,,,,,,,,,,,,,,,
278,50,63,5,1,,,,,,,,,,,,,,,,,
279,52,65,5,1,,,,,,,,,,,,,,,,,
280,54,67,5,1,,,,,,,,,,,,,,,,,
281,56,69,5,1,,,,,,,,,,,,,,,,,
282,58,71,5,1,,,,,,,,,,,,,,,,,
283,60,73,5,1,,,,,,,,,,,,,,,,,
284,63,76,5,1,,,,,,,,,,,,,,,,,
285,65,78,5,1,,,,,,,,,,,,,,,,,
286,67,80,5,1,,,,,,,,,,,,,,,,,
287,69,82,5,1,,,,,,,,,,,,,,,,,
288,71,84,5,1,,,,,,,,,,,,,,,,,
289,86,1,5,1,,,,,,,,,,,,,,,,,
290,87,18,5,1,,,,,,,,,,,,,,,,,
291,88,73,5,1,,,,,,,,,,,,,,,,,
292,89,84,5,1,,,,,,,,,,,,,,,,,
END RELEASES,,,,,,,,,,,,,,,,,,,,,
Element ID,Node ID,Tx,Ty,Tz,Rx,Ry,Rz,,,,,,,,,,,,,,
1,1,0,0,0,1,1,1,,,,,,,,,,,,,,
1,2,0,0,0,1,1,1,,,,,,,,,,,,,,
2,1,0,0,0,1,1,1,,,,,,,,,,,,,,
2,3,0,0,0,1,1,1,,,,,,,,,,,,,,
3,1,0,0,0,1,1,1,,,,,,,,,,,,,,
3,4,0,0,0,1,1,1,,,,,,,,,,,,,,
4,1,0,0,0,1,1,1,,,,,,,,,,,,,,
4,5,0,0,0,1,1,1,,,,,,,,,,,,,,
5,6,0,0,0,1,1,1,,,,,,,,,,,,,,
5,7,0,0,0,1,1,1,,,,,,,,,,,,,,
6,6,0,0,0,1,1,1,,,,,,,,,,,,,,
6,2,0,0,0,1,1,1,,,,,,,,,,,,,,
7,6,0,0,0,1,1,1,,,,,,,,,,,,,,
7,5,0,0,0,1,1,1,,,,,,,,,,,,,,
8,6,0,0,0,1,1,1,,,,,,,,,,,,,,
8,8,0,0,0,1,1,1,,,,,,,,,,,,,,
9,9,0,0,0,1,1,1,,,,,,,,,,,,,,
9,10,0,0,0,1,1,1,,,,,,,,,,,,,,
10,9,0,0,0,1,1,1,,,,,,,,,,,,,,
10,7,0,0,0,1,1,1,,,,,,,,,,,,,,
11,9,0,0,0,1,1,1,,,,,,,,,,,,,,
11,8,0,0,0,1,1,1,,,,,,,,,,,,,,
12,9,0,0,0,1,1,1,,,,,,,,,,,,,,
12,11,0,0,0,1,1,1,,,,,,,,,,,,,,
13,12,0,0,0,1,1,1,,,,,,,,,,,,,,
13,13,0,0,0,1,1,1,,,,,,,,,,,,,,
14,12,0,0,0,1,1,1,,,,,,,,,,,,,,
14,10,0,0,0,1,1,1,,,,,,,,,,,,,,
15,12,0,0,0,1,1,1,,,,,,,,,,,,,,
15,11,0,0,0,1,1,1,,,,,,,,,,,,,,
16,12,0,0,0,1,1,1,,,,,,,,,,,,,,
16,14,0,0,0,1,1,1,,,,,,,,,,,,,,
17,15,0,0,0,1,1,1,,,,,,,,,,,,,,
17,16,0,0,0,1,1,1,,,,,,,,,,,,,,
18,15,0,0,0,1,1,1,,,,,,,,,,,,,,
18,13,0,0,0,1,1,1,,,,,,,,,,,,,,
19,15,0,0,0,1,1,1,,,,,,,,,,,,,,
19,14,0,0,0,1,1,1,,,,,,,,,,,,,,
20,15,0,0,0,1,1,1,,,,,,,,,,,,,,
20,17,0,0,0,1,1,1,,,,,,,,,,,,,,
21,18,0,0,0,1,1,1,,,,,,,,,,,,,,
21,19,0,0,0,1,1,1,,,,,,,,,,,,,,
22,18,0,0,0,1,1,1,,,,,,,,,,,,,,
22,16,0,0,0,1,1,1,,,,,,,,,,,,,,
23,18,0,0,0,1,1,1,,,,,,,,,,,,,,
23,17,0,0,0,1,1,1,,,,,,,,,,,,,,
24,18,0,0,0,1,1,1,,,,,,,,,,,,,,
24,20,0,0,0,1,1,1,,,,,,,,,,,,,,
25,21,0,0,0,1,1,1,,,,,,,,,,,,,,
25,22,0,0,0,1,1,1,,,,,,,,,,,,,,
26,21,0,0,0,1,1,1,,,,,,,,,,,,,,
26,23,0,0,0,1,1,1,,,,,,,,,,,,,,
27,21,0,0,0,1,1,1,,,,,,,,,,,,,,
27,3,0,0,0,1,1,1,,,,,,,,,,,,,,
28,21,0,0,0,1,1,1,,,,,,,,,,,,,,
28,2,0,0,0,1,1,1,,,,,,,,,,,,,,
29,24,0,0,0,1,1,1,,,,,,,,,,,,,,
29,25,0,0,0,1,1,1,,,,,,,,,,,,,,
30,24,0,0,0,1,1,1,,,,,,,,,,,,,,
30,22,0,0,0,1,1,1,,,,,,,,,,,,,,
31,24,0,0,0,1,1,1,,,,,,,,,,,,,,
31,2,0,0,0,1,1,1,,,,,,,,,,,,,,
32,24,0,0,0,1,1,1,,,,,,,,,,,,,,
32,7,0,0,0,1,1,1,,,,,,,,,,,,,,
33,26,0,0,0,1,1,1,,,,,,,,,,,,,,
33,27,0,0,0,1,1,1,,,,,,,,,,,,,,
34,26,0,0,0,1,1,1,,,,,,,,,,,,,,
34,25,0,0,0,1,1,1,,,,,,,,,,,,,,
35,26,0,0,0,1,1,1,,,,,,,,,,,,,,
35,7,0,0,0,1,1,1,,,,,,,,,,,,,,
36,26,0,0,0,1,1,1,,,,,,,,,,,,,,
36,10,0,0,0,1,1,1,,,,,,,,,,,,,,
37,28,0,0,0,1,1,1,,,,,,,,,,,,,,
37,29,0,0,0,1,1,1,,,,,,,,,,,,,,
38,28,0,0,0,1,1,1,,,,,,,,,,,,,,
38,27,0,0,0,1,1,1,,,,,,,,,,,,,,
39,28,0,0,0,1,1,1,,,,,,,,,,,,,,
39,10,0,0,0,1,1,1,,,,,,,,,,,,,,
40,28,0,0,0,1,1,1,,,,,,,,,,,,,,
40,13,0,0,0,1,1,1,,,,,,,,,,,,,,
41,30,0,0,0,1,1,1,,,,,,,,,,,,,,
41,31,0,0,0,1,1,1,,,,,,,,,,,,,,
42,30,0,0,0,1,1,1,,,,,,,,,,,,,,
42,29,0,0,0,1,1,1,,,,,,,,,,,,,,
43,30,0,0,0,1,1,1,,,,,,,,,,,,,,
43,13,0,0,0,1,1,1,,,,,,,,,,,,,,
